Hour,Real,Predicted,Residuals
6526.0,99.50000014901161,109.0162318199873,9.516231670975685
6527.0,100.12999798357487,105.86726825684309,5.737270273268223
6528.0,96.88000210002065,103.4047550149262,6.524752914905548
6529.0,94.79000005871058,101.55488238483667,6.764882326126099
6530.0,91.71000142022967,100.7290028706193,9.019001450389624
6531.0,91.99999988079071,99.29288560152054,7.292885720729828
6532.0,95.50000033155084,99.9172181636095,4.417217832058668
6533.0,95.75000001490116,104.95886135101318,9.208861336112022
6534.0,113.74999675154686,111.3698790371418,-2.38011771440506
6535.0,113.56999737024307,119.3938974738121,5.823900103569031
6536.0,160.79999674111605,127.8290291056037,-32.97096763551235
6537.0,163.38000089675188,154.96993321180344,-8.410067684948444
6538.0,176.24999573081732,159.24476223438978,-17.005233496427536
6539.0,190.37999600172043,160.87229733914137,-29.50769866257906
6540.0,190.99999170005322,162.81283874809742,-28.187152951955795
6541.0,185.62999713420868,161.6907533928752,-23.939243741333485
6542.0,158.00000419467688,160.75780022889376,2.757796034216881
6543.0,160.00000166147947,165.90162344276905,5.9016217812895775
6544.0,149.63000366091728,167.29420602321625,17.664202362298965
6545.0,148.87999972701073,161.46993474662304,12.589935019612312
6546.0,145.50000049173832,160.4218007326126,14.92180024087429
6547.0,136.00000275671482,131.70721091330051,-4.292791843414307
6548.0,119.24999955296516,125.70867390185595,6.458674348890781
6549.0,123.75000362098217,123.19202312082052,-0.5579805001616478
6550.0,117.25000208616257,118.6055748090148,1.35557272285223
6551.0,118.87999865412712,113.69066767394543,-5.189330980181694
6552.0,113.73000224679708,109.66822654008865,-4.061775706708431
6553.0,112.88999862223864,107.63140480220318,-5.258593820035458
6554.0,112.24999865144491,107.38465288281441,-4.865345768630505
6555.0,111.24999991804361,108.77886667102575,-2.4711332470178604
6556.0,111.87999775260687,111.49931097775698,-0.38068677484989166
6557.0,110.87999901920557,112.2610654681921,1.3810664489865303
6558.0,112.00000385195017,122.72988340258598,10.729879550635815
6559.0,109.62999571859837,133.0590621381998,23.42906641960144
6560.0,111.63000295311213,142.29724614322186,30.66724319010973
6561.0,118.04000479727983,142.8674655854702,24.827460788190365
6562.0,118.21000204235315,142.59981076419353,24.38980872184038
6563.0,118.87999865412712,140.59399174153805,21.713993087410927
6564.0,121.63000005483627,138.1022681593895,16.472268104553223
6565.0,122.99999968707561,138.18760865181684,15.18760896474123
6566.0,127.00000438839197,136.74646101146936,9.746456623077393
6567.0,131.75000325590372,135.54504230618477,3.795039050281048
6568.0,134.25000008940697,134.44902697205544,0.19902688264846802
6569.0,132.99999678879976,133.49333457648754,0.4933377876877785
6570.0,130.99999932199717,129.12973659485579,-1.8702627271413803
6571.0,126.63000348955393,127.561852902174,0.9318494126200676
6572.0,122.74999511986971,126.34960180521011,3.5996066853404045
6573.0,120.63000132143497,125.16354770958424,4.5335463881492615
6574.0,119.7100001424551,121.79950891435146,2.0895087718963623
6575.0,122.03999973088503,116.5665651038289,-5.473434627056122
6576.0,113.50000195205212,112.82771969586611,-0.6722822561860085
6577.0,116.31999877095222,111.10137442499399,-5.218624345958233
6578.0,113.42999676615,111.04650919139385,-2.3834875747561455
6579.0,113.24999738484621,113.77235504239798,0.5223576575517654
6580.0,112.74999801814556,118.91703781485558,6.167039796710014
6581.0,112.00000385195017,125.52568560093641,13.525681748986244
6582.0,115.00000005215406,141.32811337709427,26.328113324940205
6583.0,109.38000091910362,145.94089543819427,36.56089451909065
6584.0,114.19999520480633,143.44199258834124,29.24199738353491
